binner	rank	bin	precision	recall	predicted_size	real_size
stoic_albattani_0	superkingdom	Bacteria	0.99	0.06	454122300	7416163050
stoic_albattani_0	superkingdom	Eukaryota	0.00	nan	39450	0
stoic_albattani_0	superkingdom	Viruses	0.00	0.00	6450	8883600
stoic_albattani_0	superkingdom	Archaea	0.00	nan	5400	0
stoic_albattani_0	phylum	Proteobacteria	1.00	0.14	328069950	2378816400
stoic_albattani_0	phylum	Firmicutes	0.97	0.05	86824650	1760213250
stoic_albattani_0	phylum	Actinobacteria	1.00	0.03	23986500	931733100
stoic_albattani_0	phylum	Bacteroidetes	0.93	0.01	8335050	1232396700
stoic_albattani_0	phylum	Chloroflexi	1.00	0.00	2887200	662834550
stoic_albattani_0	phylum	Cyanobacteria	0.00	nan	401250	0
stoic_albattani_0	phylum	Streptophyta	0.00	nan	30300	0
stoic_albattani_0	phylum	Acidobacteria	0.00	nan	16800	0
stoic_albattani_0	phylum	Spirochaetes	0.00	nan	13350	0
stoic_albattani_0	phylum	Chlorobi	0.00	nan	11700	0
stoic_albattani_0	phylum	Verrucomicrobia	0.00	nan	11700	0
stoic_albattani_0	phylum	Tenericutes	1.00	0.00	10200	450169050
stoic_albattani_0	phylum	Gemmatimonadetes	0.00	nan	9600	0
stoic_albattani_0	phylum	Ignavibacteriae	0.00	nan	6150	0
stoic_albattani_0	phylum	Deinococcus-Thermus	0.00	nan	5100	0
stoic_albattani_0	phylum	Chlamydiae	0.00	nan	4500	0
stoic_albattani_0	phylum	Nematoda	0.00	nan	4350	0
stoic_albattani_0	phylum	Ascomycota	0.00	nan	3300	0
stoic_albattani_0	phylum	Synergistetes	0.00	nan	3150	0
stoic_albattani_0	phylum	Euryarchaeota	0.00	nan	2850	0
stoic_albattani_0	phylum	Planctomycetes	0.00	nan	2850	0
stoic_albattani_0	phylum	Fusobacteria	0.00	nan	2400	0
stoic_albattani_0	phylum	Thaumarchaeota	0.00	nan	2100	0
stoic_albattani_0	phylum	Chordata	0.00	nan	750	0
stoic_albattani_0	phylum	Fibrobacteres	0.00	nan	750	0
stoic_albattani_0	phylum	Latescibacteria	0.00	nan	750	0
stoic_albattani_0	phylum	Deferribacteres	0.00	nan	600	0
stoic_albattani_0	phylum	Candidatus Saccharibacteria	0.00	nan	300	0
stoic_albattani_0	phylum	Cnidaria	0.00	nan	300	0
stoic_albattani_0	phylum	Nitrospinae	0.00	nan	300	0
stoic_albattani_0	phylum	Thermotogae	0.00	nan	300	0
stoic_albattani_0	phylum	Atribacteria	0.00	nan	150	0
stoic_albattani_0	phylum	Caldiserica	0.00	nan	150	0
stoic_albattani_0	phylum	Chlorophyta	0.00	nan	150	0
stoic_albattani_0	phylum	Elusimicrobia	0.00	nan	150	0
stoic_albattani_0	phylum	Microgenomates	0.00	nan	150	0
stoic_albattani_0	phylum	Poribacteria	0.00	nan	150	0
stoic_albattani_0	class	Gammaproteobacteria	1.00	0.25	167521800	656387700
stoic_albattani_0	class	Alphaproteobacteria	1.00	0.17	89969550	530276550
stoic_albattani_0	class	Bacilli	1.00	0.15	70532100	478681950
stoic_albattani_0	class	Deltaproteobacteria	1.00	0.17	35231850	201328200
stoic_albattani_0	class	Betaproteobacteria	1.00	0.03	29143800	990823950
stoic_albattani_0	class	Actinobacteria	1.00	0.03	23986500	931733100
stoic_albattani_0	class	Negativicutes	1.00	0.01	12685950	1225301700
stoic_albattani_0	class	Sphingobacteriia	1.00	0.00	4867200	1226155350
stoic_albattani_0	class	Clostridia	0.10	0.01	3198450	56229600
stoic_albattani_0	class	Ktedonobacteria	1.00	0.00	2855850	662834550
stoic_albattani_0	class	Flavobacteriia	0.93	0.33	2209650	6241350
stoic_albattani_0	class	Bacteroidia	0.00	nan	517500	0
stoic_albattani_0	class	Cytophagia	0.00	nan	148350	0
stoic_albattani_0	class	Erysipelotrichia	0.00	nan	43650	0
stoic_albattani_0	class	Spirochaetia	0.00	nan	13350	0
stoic_albattani_0	class	Chlorobia	0.00	nan	11700	0
stoic_albattani_0	class	Mollicutes	1.00	0.00	10200	450169050
stoic_albattani_0	class	Gemmatimonadetes	0.00	nan	9600	0
stoic_albattani_0	class	Verrucomicrobiae	0.00	nan	8250	0
stoic_albattani_0	class	Chloroflexia	0.00	nan	8100	0
stoic_albattani_0	class	Epsilonproteobacteria	0.00	nan	7500	0
stoic_albattani_0	class	Acidobacteriia	0.00	nan	7050	0
stoic_albattani_0	class	Ignavibacteria	0.00	nan	6150	0
