"tool","precision","recall","precision_er","recall_er","real_size","predicted_size","dataset"
"Gold Standard",1,1,0,0,0.03702,0.04174,"low"
"taxator-tk",0.704,0.216,0.107,0.027,0.02944,0.04174,"low"
"MEGAN",0.037,0.338,0.009,0.057,2.43786,3.24983,"low"
"PhyloPythiaS+",0.626,0.851,0.097,0.073,0.03335,0.04174,"low"
"Kraken",0.295,0.631,0.065,0.11,0.02944,0.04174,"low"
"Gold Standard",1,1,0,0,0.141,0.1566,"medium"
"taxator-tk",0.911,0.064,0.049,0.006,0.12362,0.1566,"medium"
"MEGAN",0.264,0.475,0.03,0.024,1.15327,1.29616,"medium"
"PhyloPythiaS+",0.617,0.826,0.055,0.042,0.12678,0.1566,"medium"
"Kraken",0.397,0.957,0.041,0.017,0.12624,0.1566,"medium"
"Gold Standard",1,1,0,0,0.74027,0.81202,"high"
"taxator-tk",1,0.015,0,0.001,0.66694,0.81202,"high"
"MEGAN",0.099,0.35,0.009,0.019,3.63748,4.10207,"high"
"PhyloPythiaS+",0.594,0.896,0.038,0.022,0.7002,0.81202,"high"
"Kraken",0.229,0.873,0.02,0.025,0.6959,0.81202,"high"
