"tool","precision","recall","precision_er","recall_er","real_size","predicted_size","dataset"
"Gold Standard",1,1,0,0,0.01778,0.01778,"low"
"taxator-tk",0.855,0.312,0.097,0.033,0.0127,0.01778,"low"
"MEGAN",0.038,0.323,0.009,0.037,1.60908,2.182,"low"
"PhyloPythiaS+",0.582,0.836,0.092,0.074,0.01296,0.01778,"low"
"Kraken",0.071,0.711,0.016,0.072,0.01311,0.01778,"low"
"Gold Standard",1,1,0,0,0.11891,0.13519,"medium"
"taxator-tk",0.809,0.075,0.088,0.009,0.09938,0.13519,"medium"
"MEGAN",0.096,0.356,0.015,0.028,1.08666,1.44434,"medium"
"PhyloPythiaS+",0.473,0.71,0.052,0.051,0.1044,0.13519,"medium"
"Kraken",0.079,0.688,0.011,0.046,0.10355,0.13519,"medium"
"Gold Standard",1,1,0,0,0.44057,0.47739,"high"
"taxator-tk",1,0.024,0,0.002,0.32435,0.47739,"high"
"MEGAN",0.05,0.22,0.005,0.014,2.41625,2.83173,"high"
"PhyloPythiaS+",0.451,0.807,0.033,0.027,0.37423,0.47739,"high"
"Kraken",0.096,0.718,0.009,0.03,0.36327,0.47739,"high"
