"tool","precision","recall","precision_er","recall_er","real_size","predicted_size","dataset"
"Gold Standard",1,1,0,0,0.02376,0.02376,"low"
"taxator-tk",1,0.288,0,0.027,0.02376,0.02376,"low"
"MEGAN",1,0.471,0,0.026,1.60902,1.60902,"low"
"PhyloPythiaS+",1,0.9,0,0.029,0.02376,0.02376,"low"
"Kraken",0.783,0.807,0.088,0.071,0.02303,0.02376,"low"
"Gold Standard",1,1,0,0,0.09997,0.09997,"medium"
"taxator-tk",0.995,0.083,0.003,0.007,0.08987,0.09997,"medium"
"MEGAN",0.909,0.483,0.035,0.016,0.97486,0.97662,"medium"
"PhyloPythiaS+",0.891,0.907,0.03,0.021,0.09593,0.09997,"medium"
"Kraken",0.778,0.946,0.036,0.013,0.09815,0.09997,"medium"
"Gold Standard",1,1,0,0,0.12896,0.12896,"high"
NA,NA,NA,NA,NA,NA,NA,NA
"MEGAN",0.2,0.454,0.03,0.028,0.70908,0.70908,"high"
"PhyloPythiaS+",0.888,0.896,0.049,0.032,0.12634,0.12896,"high"
"Kraken",0.396,0.947,0.051,0.015,0.12412,0.12896,"high"
