"rank"	"bin"	"precision"	"recall"	"predicted_size"	"real_size"	"binner"
"superkingdom"	"Bacteria"	1	1	39804463	39804463	"Gold Standard"
"phylum"	"Firmicutes"	1	1	39804463	39804463	"Gold Standard"
"class"	"Clostridia"	1	1	30099738	30099738	"Gold Standard"
"class"	"Bacilli"	1	1	9704725	9704725	"Gold Standard"
"order"	"Clostridiales"	1	1	30099738	30099738	"Gold Standard"
"order"	"Bacillales"	1	1	9704725	9704725	"Gold Standard"
"family"	"Clostridiales Family XIX. Incertae Sedis"	1	1	15210881	15210881	"Gold Standard"
"family"	"Clostridiales Family XVI. Incertae Sedis"	1	1	14888857	14888857	"Gold Standard"
"family"	"unassigned"	NA	NA	9704725	0	"Gold Standard"
"genus"	"Acetoanaerobium"	1	1	15210881	15210881	"Gold Standard"
"genus"	"Carboxydocella"	1	1	14888857	14888857	"Gold Standard"
"genus"	"unassigned"	NA	NA	9704725	0	"Gold Standard"
"species"	"Acetoanaerobium noterae"	1	1	15210881	15210881	"Gold Standard"
"species"	"Carboxydocella sporoproducens"	1	1	14888857	14888857	"Gold Standard"
"species"	"unassigned"	NA	NA	9704725	0	"Gold Standard"
"superkingdom"	"Bacteria"	1	0.06	2240604	39804463	"evil_yalow_1"
"superkingdom"	"unassigned"	NA	NA	37563859	0	"evil_yalow_1"
"phylum"	"Firmicutes"	1	0.06	2232253	39804463	"evil_yalow_1"
"phylum"	"unassigned"	NA	NA	37572210	0	"evil_yalow_1"
"class"	"Clostridia"	1	0.05	1502825	30099738	"evil_yalow_1"
"class"	"Bacilli"	1	0.04	365905	9704725	"evil_yalow_1"
"class"	"unassigned"	NA	NA	37935733	0	"evil_yalow_1"
"order"	"Clostridiales"	1	0.03	926355	30099738	"evil_yalow_1"
"order"	"Bacillales"	1	0.04	365905	9704725	"evil_yalow_1"
"order"	"unassigned"	NA	NA	38512203	0	"evil_yalow_1"
"family"	"family_Exiguobacterium"	0	NA	348914	0	"evil_yalow_1"
"family"	"Peptostreptococcaceae"	0	NA	339337	0	"evil_yalow_1"
"family"	"unassigned"	NA	NA	39116212	0	"evil_yalow_1"
"genus"	"Exiguobacterium"	0	NA	348914	0	"evil_yalow_1"
"genus"	"Peptoclostridium"	0	NA	338375	0	"evil_yalow_1"
"genus"	"unassigned"	NA	NA	39117174	0	"evil_yalow_1"
"species"	"[Clostridium] sticklandii"	0	NA	119848	0	"evil_yalow_1"
"species"	"unassigned"	NA	NA	39684615	0	"evil_yalow_1"
