"rank"	"bin"	"precision"	"recall"	"predicted_size"	"real_size"	"binner"
"strain"	"1286_BV"	1	0.983359823082	4290098	4362694	"admiring_curie_2"
"strain"	"1048861"	0.984172815742	0.0774684691445	766782	9741331	"admiring_curie_2"
"strain"	"1220_X"	1	0.983044701906	3576063	3637742	"admiring_curie_2"
"strain"	"1053037"	0.83878158796	0.972356564138	3162083	2727700	"admiring_curie_2"
"strain"	"1139_CO"	1	0.990639565609	5694749	5748558	"admiring_curie_2"
"strain"	"1035951"	1	0.92861340836	2539116	2734309	"admiring_curie_2"
"strain"	"1220_AR"	0.510295193274	0.980408328676	8628347	4490990	"admiring_curie_2"
"strain"	"1036566"	1	0.975795609783	2877188	2948556	"admiring_curie_2"
"strain"	"1220_E"	1	0.998715367975	7272886	7282241	"admiring_curie_2"
"strain"	"1021_C"	0.791099159701	0.0927423390863	1081044	9221387	"admiring_curie_2"
"strain"	"1285_BO"	0.485327402379	0.997049552785	7336874	3571323	"admiring_curie_2"
"strain"	"1052995"	1	0.111564074159	764866	6855845	"admiring_curie_2"
"strain"	"1049011"	0.572755827222	0.838183451096	5628154	3845886	"admiring_curie_2"
"strain"	"1052941"	1	0.894400830686	4899424	5477884	"admiring_curie_2"
"strain"	"1036782"	0.546183001747	0.994351957902	5347173	2937124	"admiring_curie_2"
"strain"	"1035939"	1	0.99869376143	1597924	1600014	"admiring_curie_2"
"strain"	"1053022"	0.659883995301	0.98682214414	5509432	3684135	"admiring_curie_2"
"strain"	"1052965"	0.654337010367	0.514684725602	1860014	2364702	"admiring_curie_2"
"strain"	"1287_BO"	1	0.94268747538	5109220	5419845	"admiring_curie_2"
"strain"	"1286_G"	0.682621262284	0.940142195759	4566960	3315992	"admiring_curie_2"
"strain"	"1030881"	1	0.995340490937	3286465	3301850	"admiring_curie_2"
"strain"	"1030905"	1	0.978549030924	3045180	3111934	"admiring_curie_2"
"strain"	"1052965"	0.702461060656	0.069441308038	233761	2364702	"admiring_curie_2"
"strain"	"1285_BD"	0.99906246077	0.90348693432	3011074	3329601	"admiring_curie_2"
"strain"	"evo_1139_Y.018"	0.987942744733	0.925096726514	6828088	7291951	"admiring_curie_2"
